date,contract,contract_m,open,high,low,close,fluctuation,fluctuation_percent,volume,settlement,open_interest,last_best_buy,last_bset_sell,h_high,h_low
2014-09-25,TX,201410,9158,9168,8995,9028,-98,-1.07%,138558,9026,66596,9028,9029,9542,8995
2014-09-26,TX,201410,8958,9022,8937,8980,-46,-0.51%,115750,8982,66810,8980,8982,9542,8937
2014-09-29,TX,201410,8991,9008,8943,8982,0,0.00%,101474,8981,67930,8982,8983,9542,8937
2014-09-30,TX,201410,8961,9021,8871,8991,10,0.11%,150107,8991,71320,8990,8992,9542,8871
2014-10-01,TX,201410,8943,9015,8911,8980,-11,-0.12%,114235,8980,69455,8979,8980,9542,8871
2014-10-02,TX,201410,8920,9020,8905,8993,13,0.14%,126762,8992,69659,8992,8993,9542,8871
2014-10-03,TX,201410,9004,9107,8994,9101,109,1.21%,124812,9098,67897,9100,9101,9542,8871
2014-10-06,TX,201410,9098,9110,9056,9084,-14,-0.15%,95157,9085,69485,9084,9086,9542,8871
2014-10-07,TX,201410,9034,9048,8976,9017,-68,-0.75%,127569,9018,66440,9017,9018,9542,8871
2014-10-08,TX,201410,8986,9029,8928,8933,-85,-0.94%,103779,8932,65891,8933,8935,9542,8871
2014-10-09,TX,201410,8997,9039,8948,8981,49,0.55%,139674,8980,56780,8980,8981,9542,8871
2014-10-13,TX,201410,8798,8818,8712,8712,-268,-2.98%,157956,8712,51022,8712,8714,9542,8712
2014-10-14,TX,201410,8730,8759,8702,8745,33,0.38%,104866,8743,39501,8744,8746,9542,8702
2014-10-15,TX,201410,8743,8763,8641,8646,-97,-1.11%,82391,0,26989,8645,8646,9542,8641
2014-10-16,TX,201411,8583,8683,8506,8632,-22,-0.25%,177584,8628,58445,8631,8632,9301,8506
2014-10-17,TX,201411,8658,8673,8497,8500,-128,-1.48%,174947,8499,61962,8499,8501,9301,8497
2014-10-20,TX,201411,8599,8681,8588,8661,162,1.91%,121860,8660,58508,8661,8663,9301,8497
2014-10-21,TX,201411,8655,8663,8616,8636,-24,-0.28%,90638,8639,59569,8636,8638,9301,8497
2014-10-22,TX,201411,8748,8764,8714,8744,105,1.22%,96753,8744,59078,8743,8744,9301,8497
2014-10-23,TX,201411,8732,8740,8702,8721,-23,-0.26%,79233,8722,56681,8721,8723,9301,8497
2014-10-24,TX,201411,8742,8746,8609,8642,-80,-0.92%,133051,8641,60833,8642,8643,9301,8497
2014-10-27,TX,201411,8675,8686,8592,8642,1,0.01%,108102,8643,60471,8643,8644,9301,8497
2014-10-28,TX,201411,8666,8805,8663,8793,150,1.74%,127091,8792,58262,8793,8794,9301,8497
2014-10-29,TX,201411,8833,8905,8818,8879,87,0.99%,106490,8879,55818,8877,8879,9301,8497
2014-10-30,TX,201411,8878,8889,8838,8881,2,0.02%,95556,8879,57741,8880,8881,9301,8497
2014-10-31,TX,201411,8887,8978,8867,8978,99,1.11%,137623,8975,56186,8976,8978,9301,8497
2014-11-03,TX,201411,8978,9027,8942,8982,7,0.08%,117415,8981,56902,8981,8982,9301,8497
2014-11-04,TX,201411,8984,9055,8968,8992,11,0.12%,140218,8991,55658,8991,8992,9301,8497
2014-11-05,TX,201411,9030,9039,8960,8984,-7,-0.08%,111110,8985,55427,8984,8987,9301,8497
2014-11-06,TX,201411,8976,9005,8890,8902,-83,-0.92%,129127,8903,56537,8902,8903,9301,8497
2014-11-07,TX,201411,8924,8943,8862,8939,36,0.40%,117608,8937,55132,8939,8940,9301,8497
2014-11-10,TX,201411,8965,9092,8952,9074,137,1.53%,120952,9073,57313,9074,9076,9301,8497
2014-11-11,TX,201411,9088,9105,9048,9063,-10,-0.11%,91460,9061,57710,9062,9063,9301,8497
2014-11-12,TX,201411,9028,9034,8901,8905,-156,-1.72%,141490,8905,52382,8902,8905,9301,8497
2014-11-13,TX,201411,8920,8978,8903,8959,54,0.61%,112842,8960,49125,8959,8960,9301,8497
2014-11-14,TX,201411,8980,8996,8933,8962,2,0.02%,109824,8962,44477,8961,8962,9301,8497
2014-11-17,TX,201411,8959,9043,8872,8900,-62,-0.69%,156670,8899,39832,8899,8900,9301,8497
2014-11-18,TX,201411,8951,8958,8839,8872,-27,-0.30%,124772,8873,28388,8872,8873,9301,8497
2014-11-19,TX,201411,8905,8985,8877,8953,80,0.90%,73761,0,18493,8953,8954,9301,8497
2014-11-20,TX,201412,9031,9104,9012,9093,101,1.12%,113333,9091,59075,9092,9094,9527,7835
2014-11-21,TX,201412,9119,9125,9081,9103,12,0.13%,83395,9103,58397,9103,9104,9527,7835
2014-11-24,TX,201412,9135,9170,9109,9130,27,0.30%,77972,9130,56345,9128,9130,9527,7835
2014-11-25,TX,201412,9116,9150,9069,9107,-23,-0.25%,101177,9108,57032,9106,9107,9527,7835
2014-11-26,TX,201412,9126,9143,9102,9123,15,0.16%,73155,9120,56320,9122,9124,9527,7835
2014-11-27,TX,201412,9136,9235,9136,9176,56,0.61%,109702,9175,58030,9176,9177,9527,7835
2014-11-28,TX,201412,9202,9208,9174,9181,6,0.07%,57835,9179,58303,9181,9182,9527,7835
2014-12-01,TX,201412,9036,9182,8991,9119,-60,-0.65%,158276,9119,59816,9119,9120,9527,7835
