date,contract,contract_m,open,high,low,close,fluctuation,fluctuation_percent,volume,settlement,open_interest,last_best_buy,last_bset_sell,h_high,h_low,是否因訊息面暫停交易
2015-01-05,TX,201501,9238,9276,9155,9252,-29,-0.31%,120487,9250,63140,9251,9253,9343,8853,
2015-01-06,TX,201501,9144,9153,9017,9058,-192,-2.08%,148125,9058,59897,9058,9059,9343,8853,
2015-01-07,TX,201501,9042,9092,9033,9045,-13,-0.14%,93314,9044,60983,9045,9046,9343,8853,
2015-01-08,TX,201501,9116,9259,9115,9257,213,2.36%,131883,9256,65311,9257,9258,9343,8853,
2015-01-09,TX,201501,9328,9335,9217,9230,-26,-0.28%,117874,9230,61302,9230,9231,9343,8853,
2015-01-12,TX,201501,9190,9238,9157,9185,-45,-0.49%,97827,9185,63277,9185,9187,9343,8853,
2015-01-13,TX,201501,9194,9275,9159,9249,64,0.70%,127705,9250,65512,9249,9251,9343,8853,
2015-01-14,TX,201501,9235,9247,9151,9171,-79,-0.85%,122662,9170,61421,9171,9172,9343,8853,
2015-01-15,TX,201501,9187,9230,9130,9195,25,0.27%,116348,9194,59782,9195,9197,9343,8853,
2015-01-16,TX,201501,9175,9229,9082,9115,-79,-0.86%,160290,9115,54646,9115,9117,9343,8853,
2015-01-19,TX,201501,9211,9260,9142,9181,66,0.72%,134142,9181,40858,9181,9183,9343,8853,
2015-01-20,TX,201501,9220,9269,9183,9268,87,0.95%,121592,9267,34707,9268,9269,9343,8853,
2015-01-21,TX,201501,9282,9316,9274,9308,41,0.44%,64253,0,21565,9308,9309,9343,8853,
2015-01-22,TX,201502,9360,9404,9342,9388,78,0.84%,108180,9388,56872,9387,9388,9404,8856,
2015-01-23,TX,201502,9455,9488,9443,9461,73,0.78%,92808,9461,58684,9461,9463,9488,8856,
2015-01-26,TX,201502,9448,9478,9433,9466,5,0.05%,68310,9465,61021,9466,9468,9488,8856,
2015-01-27,TX,201502,9522,9539,9480,9523,58,0.61%,90397,9523,63259,9522,9523,9539,8856,
2015-01-28,TX,201502,9478,9534,9474,9526,3,0.03%,75013,9527,63640,9526,9528,9539,8856,
2015-01-29,TX,201502,9497,9502,9426,9428,-99,-1.04%,116368,9428,63799,9428,9429,9539,8856,
2015-01-30,TX,201502,9460,9472,9385,9400,-28,-0.30%,97244,9398,62464,9400,9401,9539,8856,
2015-02-02,TX,201502,9389,9433,9370,9419,21,0.22%,85483,9420,67710,9419,9420,9539,8856,
2015-02-03,TX,201502,9434,9485,9407,9464,44,0.47%,95115,9464,67911,9464,9465,9539,8856,
2015-02-04,TX,201502,9526,9556,9512,9521,57,0.60%,86781,9522,64468,9521,9522,9556,8856,
2015-02-05,TX,201502,9521,9521,9470,9514,-8,-0.08%,79030,9513,63524,9513,9514,9556,8856,
2015-02-06,TX,201502,9536,9543,9459,9469,-44,-0.46%,96048,9470,61419,9469,9470,9556,8856,
2015-02-09,TX,201502,9439,9466,9416,9450,-20,-0.21%,78599,9451,62855,9450,9451,9556,8856,
2015-02-10,TX,201502,9468,9473,9419,9432,-19,-0.20%,86724,9432,62607,9432,9433,9556,8856,
2015-02-11,TX,201502,9462,9509,9457,9480,48,0.51%,88756,9476,55949,9479,9480,9556,8856,
2015-02-12,TX,201502,9499,9500,9461,9480,4,0.04%,80128,9482,44581,9481,9482,9556,8856,
2015-02-13,TX,201502,9510,9548,9505,9514,32,0.34%,85659,9514,30137,9514,9515,9556,8856,
2015-02-24,TX,201502,9582,9640,9582,9622,108,1.14%,46780,0,20488,9622,9623,9640,8856,
2015-02-25,TX,201503,9694,9696,9660,9684,36,0.37%,66977,9683,59601,9683,9684,9696,8296,
2015-02-26,TX,201503,9691,9692,9633,9649,-34,-0.35%,72451,9648,60518,9648,9649,9696,8296,
2015-03-02,TX,201503,9658,9683,9615,9631,-17,-0.18%,77036,9631,62267,9630,9631,9696,8296,
2015-03-03,TX,201503,9645,9658,9580,9614,-17,-0.18%,88385,9614,64091,9614,9616,9696,8296,
2015-03-04,TX,201503,9580,9638,9571,9622,8,0.08%,73997,9620,63675,9621,9622,9696,8296,
2015-03-05,TX,201503,9622,9632,9551,9589,-31,-0.32%,94585,9586,63596,9588,9589,9696,8296,
2015-03-06,TX,201503,9591,9644,9566,9638,52,0.54%,87662,9637,64717,9637,9639,9696,8296,
2015-03-09,TX,201503,9580,9595,9547,9576,-61,-0.63%,89409,9574,65426,9576,9577,9696,8296,
2015-03-10,TX,201503,9574,9585,9514,9528,-46,-0.48%,103983,9529,66104,9528,9529,9696,8296,
2015-03-11,TX,201503,9466,9544,9450,9519,-10,-0.10%,103946,9519,65168,9519,9520,9696,8296,
2015-03-12,TX,201503,9529,9609,9508,9607,88,0.92%,101568,9607,65737,9607,9609,9696,8296,
2015-03-13,TX,201503,9616,9634,9584,9598,-9,-0.09%,82971,9598,58741,9598,9599,9696,8296,
2015-03-16,TX,201503,9585,9594,9535,9546,-52,-0.54%,100282,9543,45975,9544,9546,9696,8296,
2015-03-17,TX,201503,9580,9644,9547,9554,11,0.12%,123433,9556,33756,9554,9555,9696,8296,
2015-03-18,TX,201503,9558,9649,9558,9633,77,0.81%,67737,0,23459,9632,9633,9696,8296,
2015-03-19,TX,201504,9734,9769,9708,9766,92,0.95%,100024,9765,67293,9765,9768,9769,9458,
2015-03-20,TX,201504,9742,9770,9733,9757,-8,-0.08%,66890,9757,68653,9757,9758,9770,9458,
2015-03-23,TX,201504,9761,9769,9726,9749,-8,-0.08%,75804,9749,67038,9748,9750,9770,9458,
2015-03-24,TX,201504,9728,9755,9696,9721,-28,-0.29%,89879,9720,66756,9720,9721,9770,9458,
2015-03-25,TX,201504,9721,9731,9673,9689,-31,-0.32%,95109,9688,65742,9688,9689,9770,9458,
2015-03-26,TX,201504,9580,9635,9567,9609,-79,-0.82%,110206,9611,65037,9609,9610,9770,9458,
2015-03-27,TX,201504,9609,9628,9525,9541,-70,-0.73%,126327,9542,69172,9541,9542,9770,9458,
2015-03-30,TX,201504,9511,9562,9511,9552,10,0.10%,83437,9553,69804,9552,9553,9770,9458,
2015-03-31,TX,201504,9600,9610,9545,9582,29,0.30%,98624,9582,67892,9582,9583,9770,9458,
2015-04-01,TX,201504,9540,9552,9487,9507,-75,-0.78%,111444,9508,70226,9507,9508,9770,9458,
2015-04-02,TX,201504,9538,9630,9535,9613,105,1.10%,114119,9614,66997,9613,9615,9770,9458,
2015-04-07,TX,201504,9653,9660,9612,9629,15,0.16%,72558,9629,66137,9629,9631,9770,9458,
2015-04-08,TX,201504,9633,9635,9558,9570,-59,-0.61%,93175,9570,66108,9569,9570,9770,9458,
2015-04-09,TX,201504,9579,9676,9564,9572,2,0.02%,149624,9570,63800,9570,9571,9770,9458,
2015-04-10,TX,201504,9628,9665,9592,9631,61,0.64%,120457,9632,61304,9631,9632,9770,9458,
2015-04-13,TX,201504,9673,9683,9633,9658,26,0.27%,93462,9657,46037,9658,9659,9770,9458,
2015-04-14,TX,201504,9641,9672,9626,9645,-12,-0.12%,84520,9644,34603,9644,9645,9770,9458,
