date,contract,contract_m,open,high,low,close,fluctuation,fluctuation_percent,volume,settlement,open_interest,last_best_buy,last_bset_sell,h_high,h_low
2016-01-04,TX,201601,8262,8294,8036,8075,-200,-2.42%,191331,8073,57274,8073,8075,8545,7940
2016-01-05,TX,201601,8099,8130,8011,8025,-48,-0.59%,164756,8025,57249,8024,8025,8545,7940
2016-01-06,TX,201601,8038,8048,7901,7971,-54,-0.67%,200598,7971,56716,7971,7972,8545,7901
2016-01-07,TX,201601,7956,7971,7731,7799,-172,-2.16%,246399,7805,56044,7799,7801,8545,7731
2016-01-08,TX,201601,7755,7884,7734,7868,63,0.81%,182333,7865,56273,7866,7868,8545,7731
2016-01-11,TX,201601,7730,7793,7672,7740,-125,-1.59%,184748,7739,57286,7740,7741,8545,7672
2016-01-12,TX,201601,7800,7808,7680,7709,-30,-0.39%,176648,7707,58150,7708,7710,8545,7672
2016-01-13,TX,201601,7784,7849,7736,7806,99,1.28%,188268,7806,57143,7806,7808,8545,7672
2016-01-14,TX,201601,7647,7724,7607,7716,-90,-1.15%,171850,7715,56930,7715,7717,8545,7607
2016-01-15,TX,201601,7801,7809,7636,7665,-50,-0.65%,183418,7668,52072,7665,7668,8545,7607
2016-01-18,TX,201601,7513,7828,7503,7814,146,1.90%,241486,7810,44066,7813,7815,8545,7503
2016-01-19,TX,201601,7786,7868,7750,7867,57,0.73%,165954,7866,33718,7867,7868,8545,7503
2016-01-20,TX,201601,7797,7804,7673,7705,-161,-2.05%,116624,0,21948,7704,7705,8545,7503
2016-01-21,TX,201602,7659,7706,7601,7613,19,0.25%,202230,7613,57844,7613,7615,8382,7470
2016-01-22,TX,201602,7730,7752,7641,7748,135,1.77%,183045,7748,59046,7745,7748,8382,7470
2016-01-25,TX,201602,7768,7881,7766,7833,85,1.10%,145944,7835,57528,7833,7834,8382,7470
2016-01-26,TX,201602,7784,7810,7745,7779,-56,-0.71%,145032,7778,55515,7779,7781,8382,7470
2016-01-27,TX,201602,7850,7859,7778,7839,61,0.78%,145619,7838,58807,7838,7839,8382,7470
2016-01-28,TX,201602,7800,7903,7793,7855,17,0.22%,153244,7858,59826,7855,7858,8382,7470
2016-01-29,TX,201602,7841,8073,7820,8053,195,2.48%,236477,8053,59806,8053,8054,8382,7470
2016-01-30,TX,201602,8103,8167,8091,8163,110,1.37%,68665,8164,58379,8163,8165,8382,7470
2016-02-01,TX,201602,8131,8150,8067,8124,-40,-0.49%,152839,8126,54508,8124,8126,8382,7470
2016-02-02,TX,201602,8079,8149,8061,8105,-21,-0.26%,133729,8104,52320,8103,8105,8382,7470
2016-02-03,TX,201602,8026,8085,7993,8034,-70,-0.86%,158007,8036,46033,8033,8034,8382,7470
2016-02-15,TX,201602,7920,8068,7907,8049,13,0.16%,132682,8043,39457,8042,8049,8382,7470
2016-02-16,TX,201602,8080,8232,8077,8205,162,2.01%,153558,8206,26488,8205,8207,8382,7470
2016-02-17,TX,201602,8232,8251,8193,8212,6,0.07%,73251,0,14664,8211,8212,8382,7470
2016-02-18,TX,201603,8290,8332,8233,8284,94,1.15%,123075,8285,56151,8284,8286,9799,6944
2016-02-19,TX,201603,8278,8318,8253,8304,19,0.23%,93479,8307,58239,8305,8306,9799,6944
2016-02-22,TX,201603,8289,8404,8261,8302,-5,-0.06%,140771,8300,56813,8299,8302,9799,6944
2016-02-23,TX,201603,8321,8331,8271,8318,18,0.22%,109053,8319,59072,8318,8319,9799,6944
2016-02-24,TX,201603,8300,8382,8216,8248,-71,-0.85%,163799,8247,58673,8248,8249,9799,6944
2016-02-25,TX,201603,8287,8375,8271,8337,90,1.09%,146795,8338,62081,8337,8339,9799,6944
2016-02-26,TX,201603,8390,8416,8311,8391,53,0.64%,139525,8389,59003,8390,8391,9799,6944
2016-03-01,TX,201603,8372,8484,8360,8448,59,0.70%,136259,8448,62372,8446,8448,9799,6944
2016-03-02,TX,201603,8540,8575,8500,8517,69,0.82%,130846,8518,61143,8517,8518,9799,6944
2016-03-03,TX,201603,8530,8606,8517,8566,48,0.56%,133529,8564,63263,8566,8567,9799,6944
2016-03-04,TX,201603,8570,8618,8548,8602,38,0.44%,124749,8601,63669,8601,8602,9799,6944
2016-03-07,TX,201603,8605,8685,8573,8605,4,0.05%,128900,8604,64401,8602,8605,9799,6944
2016-03-08,TX,201603,8611,8620,8525,8614,10,0.12%,136044,8614,65764,8613,8615,9799,6944
2016-03-09,TX,201603,8613,8632,8555,8620,6,0.07%,117377,8618,63859,8620,8622,9799,6944
2016-03-10,TX,201603,8629,8676,8601,8641,23,0.27%,120396,8641,61301,8640,8642,9799,6944
2016-03-11,TX,201603,8618,8707,8608,8707,66,0.76%,132707,8705,56038,8705,8707,9799,6944
2016-03-14,TX,201603,8727,8778,8725,8741,36,0.41%,112139,8741,45265,8739,8741,9799,6944
2016-03-15,TX,201603,8739,8750,8578,8603,-138,-1.58%,167109,8603,31267,8603,8605,9799,6944
2016-03-16,TX,201603,8636,8705,8633,8691,88,1.02%,64232,0,20850,8691,8692,9799,6944
