,date,contract,contract_m,open,high,low,close,fluctuation,fluctuation_percent,volume,settlement,open_interest,last_best_buy,last_bset_sell,h_high,h_low
0,2014/1/2,TX,201401,8644,8649,8585,8618,-15,-0.17%,70152,8616,59890,8617,8618,8664,8048
1,2014/1/3,TX,201401,8595,8597,8530,8541,-75,-0.87%,82686,8542,60584,8541,8543,8664,8048
2,2014/1/6,TX,201401,8539,8561,8503,8528,-14,-0.16%,81494,8526,58614,8526,8528,8664,8048
3,2014/1/7,TX,201401,8528,8575,8525,8551,25,0.29%,76176,8550,59686,8551,8552,8664,8048
4,2014/1/8,TX,201401,8556,8599,8550,8586,36,0.42%,69802,8584,58207,8586,8587,8664,8048
5,2014/1/9,TX,201401,8565,8573,8514,8528,-56,-0.65%,99558,8528,57361,8527,8529,8664,8048
6,2014/1/10,TX,201401,8523,8548,8516,8539,11,0.13%,63745,8541,54347,8539,8541,8664,8048
7,2014/1/13,TX,201401,8598,8629,8566,8572,31,0.36%,95870,8571,38736,8571,8572,8664,8048
8,2014/1/14,TX,201401,8530,8559,8514,8547,-24,-0.28%,73027,8547,32667,8546,8547,8664,8048
9,2014/1/15,TX,201401,8570,8613,8563,8610,63,0.74%,52535,0,18341,8610,8611,8664,8048
10,2014/1/16,TX,201402,8650,8662,8610,8618,8,0.09%,65354,8618,56319,8616,8618,8662,8355
11,2014/1/17,TX,201402,8610,8625,8577,8606,-12,-0.14%,76169,8604,57001,8604,8606,8662,8355
12,2014/1/20,TX,201402,8585,8634,8571,8622,18,0.21%,69809,8623,59336,8622,8623,8662,8355
13,2014/1/21,TX,201402,8642,8647,8611,8623,0,0.00%,65389,8621,60465,8622,8623,8662,8355
14,2014/1/22,TX,201402,8595,8636,8585,8635,14,0.16%,61473,8634,60166,8635,8636,8662,8355
15,2014/1/23,TX,201402,8646,8650,8587,8596,-38,-0.44%,77610,8597,59145,8595,8596,8662,8355
16,2014/1/24,TX,201402,8570,8629,8551,8619,22,0.26%,76250,8617,61711,8618,8619,8662,8355
17,2014/1/27,TX,201402,8510,8547,8445,8446,-171,-1.98%,124091,8449,61081,8446,8447,8662,8355
18,2014/2/5,TX,201402,8302,8328,8196,8243,-206,-2.44%,123024,8242,56745,8242,8244,8662,8196
19,2014/2/6,TX,201402,8278,8292,8247,8275,33,0.40%,81137,8276,52424,8275,8276,8662,8196
20,2014/2/7,TX,201402,8327,8373,8315,8339,63,0.76%,84636,8339,50744,8338,8340,8662,8196
21,2014/2/10,TX,201402,8375,8403,8353,8355,16,0.19%,75690,8354,51889,8354,8355,8662,8196
22,2014/2/11,TX,201402,8354,8415,8346,8414,60,0.72%,69071,8413,50694,8413,8414,8662,8196
23,2014/2/12,TX,201402,8447,8496,8437,8481,68,0.81%,84727,8483,51297,8481,8484,8662,8196
